city,lat,lon
Montevideo,-34.9011,-56.1645
Asuncion,-25.2637,-57.5759
La_Paz,-16.4897,-68.1193
Brasilia,-15.7942,-47.8822
Kolkata,22.5726,88.3639
Chennai,13.0827,80.2707
Bangalore,12.9716,77.5946
Hyderabad,17.3850,78.4867
Dhaka,23.8103,90.4125
Karachi,24.8607,67.0011
Lahore,31.5204,74.3587
Islamabad,33.6844,73.0479
Ho_Chi_Minh_City,10.8231,106.6297
Hanoi,21.0285,105.8542
Kuala_Lumpur,3.1390,101.6869
Phnom_Penh,11.5564,104.9282
Vientiane,17.9757,102.6331
Yangon,16.8661,96.1951
Taipei,25.0330,121.5654
Hong_Kong,22.3193,114.1694
Macau,22.1987,113.5439
Osaka,34.6937,135.5023
Kyoto,35.0116,135.7681
Sapporo,43.0618,141.3545
Tehran,35.6892,51.3890
Baghdad,33.3152,44.3661
Riyadh,24.7136,46.6753
Jeddah,21.4858,39.1925
Doha,25.2854,51.5310
Kuwait_City,29.3759,47.9774
Muscat,23.5859,58.4059
Amman,31.9454,35.9284
Beirut,33.8938,35.5018
Jerusalem,31.7683,35.2137
Tel_Aviv,32.0853,34.7818
Tashkent,41.2995,69.2401
Almaty,43.2389,76.8897
Ulaanbaatar,47.8864,106.9057
Colombo,6.9271,79.8612
Kathmandu,27.7172,85.3240
Adelaide,-34.9285,138.6007
Brisbane,-27.4698,153.0251
Perth,-31.9505,115.8605
Hobart,-42.8821,147.3272
Darwin,-12.4634,130.8456
Wellington,-41.2865,174.7762
Christchurch,-43.5321,172.6362
Fiji_Suva,-18.1248,178.4501
Port_Moresby,-9.4438,147.1803
Casablanca,33.5731,-7.5898
Marrakech,31.6295,-7.9811
Algiers,36.7538,3.0588
Tunis,36.8065,10.1815
Tripoli,32.8872,13.1913
Addis_Ababa,9.0250,38.7469
Accra,5.6037,-0.1870
Dakar,14.7167,-17.4677
Luanda,-8.8390,13.2894
Kinshasa,-4.4419,15.2663
Dar_es_Salaam,-6.7924,39.2083
Antananarivo,-18.8792,47.5079
Kampala,0.3476,32.5825
Lusaka,-15.3875,28.3228
Harare,-17.8252,31.0335
Windhoek,-22.5609,17.0658
Gaborone,-24.6282,25.9231
Maputo,-25.9692,32.5732
Port_Louis,-20.1609,57.5012
Alexandria,31.2001,29.9187
Giza,30.0131,31.2089
Luxor,25.6872,32.6396
Aswan,24.0889,32.8998
Port_Said,31.2565,32.2841
Beni_Suef,29.0760,31.0970
